id;name;lat;lon
490027400;Wien Elderschplatz;48.21794;16.412253
490144000;Wien Walcherstraße;48.22604;16.401376
490003400;Wien Althanstraße;48.228835;16.35955
490119900;Wien Schlachthausgasse;48.194029;16.407453
490153000;Wien Zieglergasse;48.196969;16.345365
490090500;Wien Hauptbahnhof Ost;48.184357;16.380494
490135800;Wien Hauptbahnhof Süd;48.18433;16.375973
490038900;Wien Gerhardusgasse;48.231694;16.366255
490142500;Wien St. Marx;48.188078;16.399516
490052900;Wien Hirschengasse;48.193094;16.349158
490075500;Wien Laurenzgasse;48.185543;16.362696
490010400;Wien Bacherplatz;48.18824;16.356853
490082100;Wien Ludwig-Koeßler-Platz;48.195773;16.408972
490131500;Wien Barthgasse;48.193184;16.406779
490017000;Wien Brigittaplatz;48.232647;16.370328
490189300;Wien Krieau;48.214489;16.414123
490100200;Wien Pensionsversicherungsanstalt;48.229285;16.397565
490151000;Wien Währinger Straße-Volksoper;48.225267;16.349329
490020200;Wien Canisiusgasse;48.228044;16.354812
490016900;Wien Brigittagasse;48.233276;16.374723
490014800;Wien Blindengasse;48.210974;16.340483
490120600;Wien Schüttelstraße;48.196996;16.411318
490014500;Wien Blechturmgasse;48.184357;16.368278
490123300;Wien Siebenbrunnengasse;48.187629;16.359343
490050700;Wien Hernalser Gürtel;48.215181;16.340906
490008400;Wien Arsenal;48.183629;16.384207
490002700;Wien Alser Straße;48.21714;16.342003
490076300;Wien St. Marx/Leberstraße;48.187602;16.399605
490064400;Wien Burggasse/Kaiserstraße;48.204322;16.340034
490138500;Wien Traisengasse;48.23404;16.384171
490064500;Wien Neustiftgasse/Kaiserstraße;48.20603;16.339683
490009900;Wien Augasse;48.229707;16.357437
490064600;Wien Westbahnstraße/Kaiserstraße;48.201832;16.340528
490087400;Wien Michelbeuern-AKH;48.220988;16.343935
490061500;Wien Josefstädter Straße;48.211387;16.339162
490097400;Wien Sturgasse;48.216286;16.414582
490155800;Wien Lerchenfelder Straße;48.208412;16.339243
490148600;Wien Wildgansplatz;48.186191;16.396792
490108500;Wien Reinprechtsdorfer Brücke;48.189292;16.351423
490054700;Wien Holubstraße;48.231802;16.394563
490137200;Wien Thaliastraße;48.208565;16.338434
490156800;Wien Klaschkaweg;48.199611;16.414546
490101600;Wien Alfred-Adler-Straße;48.182433;16.381465
490129600;Wien Stadionbad;48.204403;16.416514
490017500;Wien Brückengasse;48.191305;16.347603
490021100;Wien Columbusplatz;48.182361;16.37369
490021900;Wien Dammstraße;48.234687;16.375254
490132800;Wien Stollgasse;48.198704;16.341122
490068900;Wien Kliebergasse;48.182802;16.364467
490027900;Wien Engerthstraße/Innstraße;48.233321;16.392792
490041700;Wien Grasbergergasse;48.186191;16.400423
490064300;Wien Kaiserstraße;48.196672;16.34158
490140500;Wien Sonnwendgasse;48.181498;16.379245
490187100;Wien Pierre-de-Coubertin-Platz;48.206084;16.418069
490069600;Wien Kohlgasse;48.187854;16.351594
490166700;Wien Jägerstraße;48.235236;16.369474
490108600;Wien Reinprechtsdorfer Straße/Arbeitergasse;48.186532;16.353158
490128600;Wien Spengergasse;48.184779;16.357536
490165900;Wien Linke Wienzeile/Brückengasse;48.189526;16.348421
490070500;Wien Thaliastraße U/Koppstr.;48.206174;16.336915
490073300;Wien Pensionisten-Wohnhaus Prater;48.213716;16.41824
490018800;Wien Burggasse-Stadthalle;48.202299;16.33731
490141300;Wien Urban-Loritz-Platz;48.201176;16.337607
490133900;Wien Neu Marx;48.186964;16.403929
490081300;Wien Lorenz-Böhler-Unfallkrankenhaus;48.236162;16.383299
490158300;Wien Ernst-Happel-Stadion;48.208753;16.419175
490053800;Wien Hofmannsthalgasse;48.185067;16.399911
490132300;Wien Sternwartestraße;48.229186;16.349994
490017300;Wien Neulerchenfelder Straße/Brunnengasse;48.211091;16.335944
490095000;Wien Nußdorfer Straße;48.231478;16.352889
490073200;Wien Kutschkergasse;48.226184;16.344825
490078600;Wien Liechtenwerder Platz;48.232755;16.356206
490146800;Wien Westbahnhof;48.196654;16.337652
490106200;Wien Spittelau;48.235613;16.358363
490017200;Wien Thaliastraße/Brunnengasse;48.20905;16.335431
490050000;Wien Dresdner Straße;48.23698;16.379524
490176900;Wien Nottendorfer Gasse;48.191917;16.412811
490030600;Wien Fendigasse;48.183934;16.355792
490004100;Wien Am Hundsturm;48.187683;16.348169
490189400;Wien Stadion;48.211082;16.419768
490250300;Wien Anastasius-Grün-Gasse;48.229941;16.349473
490127500;Wien Sonnenuhrgasse;48.190784;16.343944
490012400;Wien Yppengasse;48.214713;16.335665
490147000;Wien Wexstraße;48.235955;16.365887
490065800;Wien Arsenalsteg;48.180563;16.388558
490040500;Wien Glatzgasse;48.233348;16.353176
490028000;Wien Engerthstraße/Traisengasse;48.236332;16.389223
490157000;Wien Marsanogasse;48.230813;16.350722
490192000;Wien Eduardgasse;48.222723;16.340016
490098800;Wien Palffygasse;48.217626;16.336834
490133100;Wien Maria-Jacobi-Gasse;48.187287;16.407076
490023400;Wien Donauinsel;48.228997;16.410977
490156600;Wien Westbahnhof/Gerstnerstr.;48.195306;16.337823
490066600;Wien Keplerplatz;48.178136;16.376539
490291800;Wien Betriebshof Gürtel;48.230912;16.349904
490132100;Wien Hermine-Jursa-Gasse;48.189418;16.410869
490069200;Wien Gürtelbrücke;48.23724;16.365159
490084900;Wien Matzleinsdorfer Platz;48.180599;16.359145
490079200;Wien Moeringgasse;48.204061;16.334218
490170400;Wien Pasettistraße;48.237843;16.381411
490191200;Wien Hlawkagasse;48.179098;16.382975
490146200;Wien Weitlofgasse;48.230238;16.347864
490115400;Wien Scalagasse;48.182334;16.357428
490084300;Wien Martinstraße;48.226624;16.342254
490013600;Wien Laxenburger Str./Gudrunstr.;48.178361;16.373752
490028900;Wien Erdberg;48.191521;16.413997
490088300;Wien Mauthausgasse;48.18797;16.345643
490026900;Wien Einsiedlerplatz;48.185256;16.349473
490169300;Wien Allerheiligenplatz;48.2376;16.386194
490080500;Wien Litfaßstraße;48.183997;16.405538
490083300;Wien Mariahilfer Gürtel;48.192986;16.338838
490028600;Wien Erlachplatz;48.17864;16.369006
490123200;Wien Siebenbrunnenfeldgasse;48.18219;16.354623
490044800;Wien Gymnasiumstraße;48.230013;16.344744
490130000;Wien Scheugasse;48.177912;16.378652
490056900;Wien Höchstädtplatz;48.239245;16.376908
490142800;Wien Vogelweidplatz/Stadthalle;48.204214;16.332564
490082700;Wien Margaretengürtel;48.188294;16.342506
490068000;Wien Kirchstetterngasse;48.206911;16.331827
490079800;Wien Lilienthalgasse;48.178451;16.391299
